LONGITUDE,LATITUDE,CLASS,ASPECT1,ELEVATION1,GEOLOGY1,LULC1,NDVI1,RAINFALL1,ROAD1,SLOPE1,SOIL1,STREAM1
88.649278,27.329361,1,338,1393.23449707031,5,8,0.251151382923126,1306.9482421875,5,17,1,1
88.655167,27.365056,1,191,2341.63891601562,5,3.0243501663208,0.211522087454796,1323.14172363281,5,17,1,2
88.65975,27.257083,1,175,1650.42565917969,5,9,0.383391410112381,1299.89428710938,5,18,1,2
88.673611,27.370278,1,154,2506.98046875,5,2,0.155802950263023,1330.51416015625,5,22,1,2
88.677167,27.371806,1,235,2563.134765625,5,1.0079824924469,0.225481078028679,1329.90930175781,5,32,2,2
88.67925,27.370083,1,236,2595.02880859375,5,3,0.168410897254944,1329.90930175781,5,25,2,2
88.679444,27.37075,1,238,2635.5234375,5,3,0.221008032560349,1329.90930175781,5,27,2,2
88.683167,27.370861,1,141,2721.970703125,5,4.41711282730103,0.259918600320816,1328.77917480469,5,27,2,2
88.686417,27.370472,1,218,2766.18676757812,5,7.97887659072876,0.104999028146267,1328.77917480469,5,47,2,2
88.688944,27.372278,1,209,2989.189453125,5,3.02112340927124,0.178919538855553,1327.18090820312,5,32,2,1
88.690444,27.381306,1,154,3102.841796875,5,1,0.145875737071037,1338.99328613281,5,32,1,2
88.691583,27.369306,1,137,2803.271484375,5,3,0.266417324542999,1327.18090820312,5,29,2,1
88.697222,27.378417,1,205,3080.1328125,5,1.0064537525177,0.147924333810806,1331.51000976562,5,25,1,1
88.699611,27.378667,1,188,3079.47998046875,5,3.70556306838989,0.132036045193672,1335.99133300781,5,6,1.91093170642853,1
88.696583,27.257083,1,139,1408.78076171875,4,8.00099754333496,0.217856496572495,1316.37280273438,10,20,4,1
88.697556,27.257139,1,171,1383.564453125,4,2.54898595809937,0.253870964050293,1316.70642089844,10,32,4,1
88.708028,27.375139,1,301,3176.5244140625,5,8,-0.0030911599751561,1324.88049316406,5,44,1,1
88.709722,27.371472,1,227,3137.78466796875,5,3,0.0712208300828934,1317.39367675781,5,39,1,1
88.710111,27.370972,1,247,3168.76123046875,5,3.01613426208496,0.0780257284641266,1317.39367675781,5,49,1,1
88.390889,27.254917,1,79,1790.60656738281,9,8,0.281300008296967,957.123962402344,5,24,1,2
88.388944,27.255389,1,60,1853.3388671875,9,8,0.311987519264221,957.123962402344,5,23,1,2
88.396944,27.255167,1,115,1591.02404785156,9,8.00099754333496,0.381216436624527,939.726684570312,5,21,1,1
88.418889,27.257417,1,146,855.578979492188,9,9,0.305361807346344,912.324890136719,5,37,1,1
88.381361,27.26,1,356,1553.54650878906,9,8,0.0264448747038841,967.186340332031,5,27,1,1
88.423028,27.259306,1,171,818.597961425781,11,9,0.271567404270172,894.095581054688,5,29,1,1
88.377139,27.263194,1,20,1572.6240234375,9,8,0.221301153302193,956.775329589844,5,31,1,1
88.4305,27.262056,1,91,645.049133300781,11,3.0243501663208,0.281394720077515,887.265502929688,5,29,1,1
88.430139,27.270056,1,351,473.755340576172,9,8,0.0487292446196079,861.062805175781,5,36,2,1
88.394139,27.272056,1,140,1030.51525878906,9,8.23941230773926,0.397200584411621,913.351196289062,5,26,1,1
88.389528,27.273083,1,144,1220.91723632812,9,9,0.412507086992264,924.26806640625,5,29,1,1
88.430389,27.271583,1,172,485.710540771484,9,9,0.351574152708054,861.062805175781,5,26,2,1
88.398722,27.273861,1,92,941.096008300781,9,8,0.336917608976364,892.007507324219,5,38,1,1
88.398722,27.276167,1,70,882.775329589844,9,8,0.333291739225388,892.007507324219,5,39,1,1
88.436472,27.279889,1,123,568.727355957031,9,8.76381492614746,0.276478141546249,834.427978515625,5,40,1,1
88.370056,27.28425,1,102,1933.27587890625,9,8,0.216198563575745,932.905639648438,10,30,1,2
88.415028,27.282,1,165,1392.10119628906,9,7.99823760986328,0.366749733686447,851.641235351562,5,41,2,2
88.369444,27.287194,1,86,1947.58996582031,9,8,0.253639072179794,932.905639648438,10,35,1,2
88.388472,27.297139,1,224,1520.68688964844,9,8.76058769226074,0.176582708954811,871.09716796875,10,23,1,1
88.419778,27.29975,1,138,1329.40954589844,9,8.76058769226074,0.361273497343063,806.201477050781,5,18,1,2
88.373944,27.302861,1,68,1780.55249023438,9,8,0.329452902078629,905.9853515625,10,30,1,1
88.433167,27.303083,1,115,887.914245605469,9,6.81907272338867,0.316979706287384,796.297485351562,5,32,1.91093170642853,1
88.368444,27.306861,1,118,1939.77197265625,9,8,0.285462021827698,917.099853515625,10,31,1,1
88.375194,27.306806,1,37,1619.45764160156,9,8,0.271724939346313,902.991333007812,10,9,1,1
88.418611,27.311667,1,52,1239.01220703125,9,8.23618507385254,0.316151440143585,797.53369140625,5,24,4,1
88.417917,27.314694,1,146,1217.47924804688,9,9,0.293807566165924,795.423828125,5,24,1,1
